ts,combustible,precio
2026-08-17T08:28Z,g95e5,1.809
2026-08-17T08:28Z,gA,1.964
2026-08-17T08:28Z,gP,2.044
2026-08-18T08:20Z,g95e5,1.815
2026-08-18T08:20Z,g98e5,1.985
2026-08-19T09:20Z,gA,1.984
2026-08-19T09:20Z,gP,2.064
2026-08-20T08:22Z,g95e5,1.825
2026-08-20T08:22Z,g98e5,1.995
2026-08-21T08:23Z,g95e5,1.835
2026-08-21T08:23Z,gA,1.994
2026-08-21T08:23Z,gP,2.074
2026-08-21T08:23Z,g98e5,2.015
2026-08-24T08:33Z,g95e5,1.839
2026-08-24T08:33Z,gA,1.989
2026-08-24T08:33Z,g98e5,2.009
2026-08-25T08:27Z,g95e5,1.835
2026-08-25T08:27Z,gP,2.075
2026-08-25T08:27Z,g98e5,2.005
2026-08-27T13:12Z,g95e5,1.834
2026-08-27T13:12Z,gP,2.064
2026-08-27T13:12Z,g98e5,1.995
