ts,combustible,precio
2026-08-16T15:09Z,gA,1.939
2026-08-16T18:10Z,gA,1.929
2026-08-17T08:28Z,g95e5,1.765
2026-08-17T08:28Z,gA,1.939
2026-08-17T11:14Z,g95e5,1.755
2026-08-17T11:14Z,gA,1.929
2026-08-17T15:14Z,gA,1.939
2026-08-17T18:19Z,gA,1.929
2026-08-17T22:11Z,g95e5,1.765
2026-08-17T22:11Z,gA,1.945
2026-08-17T22:11Z,g98e5,1.885
2026-08-17T22:11Z,g95e5p,1.835
2026-08-18T07:28Z,g95e5,1.775
2026-08-18T07:28Z,gA,1.955
2026-08-18T10:15Z,g95e5,1.765
2026-08-18T10:15Z,gA,1.945
2026-08-18T15:19Z,g95e5,1.775
2026-08-18T18:17Z,g95e5,1.765
2026-08-18T22:09Z,gA,1.955
2026-08-19T08:21Z,gA,1.965
2026-08-19T12:18Z,gA,1.955
2026-08-19T16:16Z,g95e5,1.775
2026-08-19T18:15Z,g95e5,1.765
2026-08-19T22:12Z,g95e5,1.775
2026-08-19T22:12Z,gA,1.969
2026-08-19T22:12Z,g98e5,1.895
2026-08-19T22:12Z,g95e5p,1.845
2026-08-20T08:22Z,g95e5,1.785
2026-08-20T08:22Z,gA,1.979
2026-08-20T11:15Z,g95e5,1.775
2026-08-20T11:15Z,gA,1.969
2026-08-20T16:19Z,g95e5,1.785
2026-08-20T18:19Z,g95e5,1.775
2026-08-20T22:14Z,g95e5,1.769
2026-08-20T22:14Z,gA,1.959
2026-08-20T22:14Z,g98e5,1.899
2026-08-20T22:14Z,g95e5p,1.839
2026-08-21T06:23Z,gA,1.969
2026-08-21T08:23Z,g95e5,1.779
2026-08-21T09:23Z,gA,1.959
2026-08-21T11:14Z,g95e5,1.769
2026-08-21T16:17Z,g95e5,1.779
2026-08-21T19:18Z,g95e5,1.769
2026-08-21T22:10Z,g95e5,1.775
2026-08-21T22:10Z,g98e5,1.895
2026-08-21T22:10Z,g95e5p,1.845
2026-08-22T08:14Z,g95e5,1.785
2026-08-22T08:14Z,gA,1.969
2026-08-22T12:13Z,g95e5,1.775
2026-08-22T12:13Z,gA,1.959
2026-08-23T08:14Z,g95e5,1.785
2026-08-23T09:15Z,gA,1.969
2026-08-23T11:10Z,g95e5,1.775
2026-08-23T12:13Z,gA,1.959
2026-08-24T07:47Z,gA,1.969
2026-08-24T08:33Z,g95e5,1.785
2026-08-24T10:25Z,gA,1.959
2026-08-24T11:16Z,g95e5,1.775
2026-08-24T14:30Z,g95e5,1.785
