ts,combustible,precio
2026-08-17T19:19Z,g95e5,1.772
2026-08-17T19:19Z,gA,1.872
2026-08-17T19:19Z,gP,1.952
2026-08-17T19:19Z,g98e5,1.914
2026-08-19T12:18Z,g95e5,1.782
2026-08-19T12:18Z,gA,1.887
2026-08-19T12:18Z,gP,1.978
2026-08-19T12:18Z,g98e5,1.928
2026-08-20T12:21Z,g95e5,1.784
2026-08-20T12:21Z,gA,1.908
2026-08-20T12:21Z,gP,1.998
2026-08-20T12:21Z,g98e5,1.924
2026-08-21T13:36Z,g95e5,1.792
2026-08-21T13:36Z,gA,1.913
2026-08-21T13:36Z,gP,2.012
2026-08-21T13:36Z,g98e5,1.934
2026-08-24T13:57Z,gP,2.004
2026-08-28T19:40Z,g95e5,1.798
2026-08-28T19:40Z,gA,1.904
2026-08-28T19:40Z,gP,1.994
2026-08-28T19:40Z,g98e5,1.938
2026-08-31T17:43Z,g95e5,1.802
2026-08-31T17:43Z,gA,1.888
2026-08-31T17:43Z,gP,1.978
2026-08-31T17:43Z,g98e5,1.944
2026-09-01T12:09Z,g95e5,1.862
2026-09-01T12:09Z,gA,1.786
2026-09-01T12:09Z,gP,1.868
2026-09-01T12:09Z,g98e5,2.032
2026-09-03T18:56Z,g95e5,1.884
2026-09-03T18:56Z,gA,1.798
2026-09-03T18:56Z,gP,1.888
2026-09-03T18:56Z,g98e5,2.024
2026-09-04T18:37Z,g95e5,1.894
2026-09-04T18:37Z,gA,1.838
2026-09-04T18:37Z,gP,1.922
2026-09-04T18:37Z,g98e5,2.034
