ts,combustible,precio
2026-08-19T07:28Z,gA,1.964
2026-08-19T07:28Z,gB,1.689
2026-08-20T07:31Z,g95e5,1.789
2026-08-20T07:31Z,gA,1.979
2026-08-20T07:31Z,gB,1.694
2026-08-21T06:23Z,gA,1.974
2026-08-30T11:12Z,g95e5,1.799
2026-08-30T11:12Z,gA,1.994
2026-08-30T11:12Z,gB,1.719
2026-08-31T10:09Z,g95e5,1.814
2026-08-31T10:09Z,gA,1.974
2026-08-31T10:09Z,gB,1.699
2026-09-01T12:09Z,g95e5,1.865
2026-09-01T12:09Z,gA,1.843
2026-09-02T10:01Z,g95e5,1.860
2026-09-02T10:01Z,gA,1.839
2026-09-03T11:47Z,g95e5,1.859
2026-09-03T11:47Z,gA,1.874
2026-09-03T11:47Z,gB,1.734
2026-09-04T06:37Z,g95e5,1.889
2026-09-04T06:37Z,gA,1.909
2026-09-04T06:37Z,gB,1.774
2026-09-05T10:58Z,g95e5,1.899
2026-09-05T10:58Z,gA,1.918
2026-09-06T09:46Z,gA,1.894
2026-09-06T09:46Z,gB,1.759
2026-09-07T10:50Z,g95e5,1.909
2026-09-07T10:50Z,gA,1.885
2026-09-09T10:12Z,g95e5,1.919
2026-09-09T10:12Z,gA,1.899
2026-09-09T10:12Z,gB,1.773
2026-09-11T11:53Z,g95e5,1.934
2026-09-11T11:53Z,gA,1.914
2026-09-11T11:53Z,gB,1.788
