ts,combustible,precio
2026-08-16T14:11Z,g95e5,1.744
2026-08-16T14:11Z,gA,1.934
2026-08-16T14:11Z,gP,2.014
2026-08-16T14:11Z,g95e5p,1.834
2026-08-16T18:10Z,g95e5,1.754
2026-08-16T18:10Z,gA,1.924
2026-08-16T18:10Z,gP,2.004
2026-08-16T18:10Z,g95e5p,1.844
2026-08-17T08:28Z,g95e5,1.764
2026-08-17T08:28Z,g95e5p,1.854
2026-08-17T09:27Z,gA,1.934
2026-08-17T09:27Z,gP,2.014
2026-08-17T13:30Z,g95e5,1.754
2026-08-17T13:30Z,gA,1.924
2026-08-17T13:30Z,gP,2.004
2026-08-17T13:30Z,g95e5p,1.844
2026-08-18T08:20Z,gA,1.934
2026-08-18T08:20Z,gP,2.014
2026-08-18T11:14Z,g95e5,1.744
2026-08-18T11:14Z,g95e5p,1.834
2026-08-18T13:34Z,gA,1.924
2026-08-18T13:34Z,gP,2.004
2026-08-18T15:19Z,g95e5,1.754
2026-08-18T15:19Z,g95e5p,1.844
2026-08-18T22:09Z,gA,1.944
2026-08-18T22:09Z,gP,2.024
2026-08-19T08:21Z,g95e5,1.764
2026-08-19T08:21Z,g95e5p,1.854
2026-08-19T09:20Z,gA,1.954
2026-08-19T09:20Z,gP,2.034
2026-08-19T13:35Z,g95e5,1.754
2026-08-19T13:35Z,gA,1.944
2026-08-19T13:35Z,gP,2.024
2026-08-19T13:35Z,g95e5p,1.844
2026-08-19T22:12Z,g95e5,1.774
2026-08-19T22:12Z,gA,1.954
2026-08-19T22:12Z,gP,2.034
2026-08-19T22:12Z,g95e5p,1.864
2026-08-20T08:22Z,g95e5,1.784
2026-08-20T08:22Z,gA,1.964
2026-08-20T08:22Z,gP,2.044
2026-08-20T08:22Z,g95e5p,1.874
2026-08-20T12:21Z,g95e5,1.764
2026-08-20T12:21Z,gA,1.974
2026-08-20T12:21Z,gP,2.054
2026-08-20T12:21Z,g95e5p,1.854
2026-08-20T16:19Z,g95e5,1.774
2026-08-20T16:19Z,gA,1.954
2026-08-20T16:19Z,gP,2.034
2026-08-20T16:19Z,g95e5p,1.864
2026-08-21T08:23Z,g95e5,1.784
2026-08-21T08:23Z,g95e5p,1.874
2026-08-21T09:23Z,gA,1.944
2026-08-21T09:23Z,gP,2.024
2026-08-21T13:36Z,g95e5,1.774
2026-08-21T13:36Z,gA,1.954
2026-08-21T13:36Z,gP,2.034
2026-08-21T13:36Z,g95e5p,1.864
2026-08-22T08:14Z,g95e5,1.784
2026-08-22T08:14Z,gA,1.964
2026-08-22T08:14Z,gP,2.044
2026-08-22T08:14Z,g95e5p,1.874
2026-08-22T12:13Z,g95e5,1.764
